year,round,type,institute,program,quota,category,gender,orank,crank
2025,6,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",684,684
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral",6087,8343
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","OPEN","Female-only",13688,13761
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral",1123,1311
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","EWS","Female-only",2839,2839
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral",2786,4014
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only",5934,5934
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral",2140,2370
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","SC","Female-only",2950,2950
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral",1063,1070
2025,6,"IIT","Indian Institute of Technology Bombay","Applied Geophysics (4 Years, Bachelor of Science)","AI","ST","Female-only",1581,1581
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral",753,1067
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OPEN","Female-only",3432,3432
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral",397,397
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","EWS","Female-only",1085,1085
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral",742,1018
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only",4453,4453
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","OBC-NCL (PwD)","Gender-Neutral",56,56
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral",556,1147
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","SC","Female-only",1771,1771
2025,6,"IIT","Indian Institute of Technology Bombay","BS in Mathematics (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral",557,557
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",601,2464
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",4813,5969
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral",176,176
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Female-only",198,198
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",385,500
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",1139,1152
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral",23,23
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",800,1255
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",2840,3552
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral",86,86
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",443,735
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",1124,1242
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC (PwD)","Gender-Neutral",9,9
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",308,469
2025,6,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",523,649
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OPEN","Gender-Neutral",3133,7228
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OPEN","Female-only",9368,10435
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","EWS","Gender-Neutral",986,1353
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","EWS","Female-only",2621,2621
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL","Gender-Neutral",2801,3637
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL","Female-only",6467,6573
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","SC","Gender-Neutral",1436,2164
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","SC","Female-only",719,719
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","ST","Gender-Neutral",910,1140
2025,6,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","ST","Female-only",1540,1540
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",2666,4250
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",6085,8597
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral",62,202
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral",522,725
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only",1442,1643
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","EWS (PwD)","Gender-Neutral",10,10
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral",973,1829
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only",3469,4597
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral",80,30
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral",444,946
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only",824,1778
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral",23,290
2025,6,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only",294,522
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral",1,66
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only",29,369
2025,6,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral",1,4
